k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,12,10,1.5,14,0.22,2.6,0.6728787124621831,0.2401436330732269
40,12,15,2.0,14,0.18,2.6,0.6728895723852618,0.2402110637721207
40,12,20,3.0,14,0.22,1.8,0.6728990066435893,0.24032418208351614
40,16,10,3.0,10,0.15,2.2,0.6729004506868812,0.240194249812383
40,12,15,2.0,14,0.22,1.8,0.6729009967154175,0.24021829922610047
36,12,10,2.5,6,0.22,2.2,0.6729095251805951,0.24013470458639607
32,12,15,3.0,10,0.22,2.6,0.6729098102806118,0.2401767867638543
32,12,10,3.0,14,0.22,2.2,0.6729117620496242,0.24016784508150854
40,12,15,2.0,10,0.18,2.6,0.6729155268586201,0.2401939860132166
40,12,20,3.0,10,0.22,1.8,0.6729156407163865,0.2402737074183368
40,12,15,3.0,6,0.15,2.6,0.6729200355616396,0.24013520990478573
36,12,15,3.0,10,0.18,1.8,0.6729363894671657,0.24018985711585056
40,12,15,2.0,10,0.22,1.8,0.6729387416173988,0.240205542742863
40,12,20,2.5,10,0.22,2.2,0.6729505571537743,0.24027952904828123
40,12,15,2.5,14,0.15,1.8,0.6729547511120213,0.24024361277954903
36,12,10,2.5,14,0.15,2.2,0.6729606237105344,0.24018822335205395
40,12,15,2.5,10,0.15,2.2,0.6729630402632532,0.2402111501634815
40,16,10,2.0,14,0.22,2.6,0.6729636381573616,0.24024576512758067
40,12,10,2.0,6,0.18,2.2,0.6729725848762866,0.24015326484137434
40,16,15,2.5,14,0.22,2.6,0.6729767816287973,0.24033439263703185
36,12,10,2.0,10,0.22,2.6,0.6729826503716778,0.24017301360146137
40,20,10,3.0,10,0.22,2.6,0.672991711535318,0.24032942880408534
40,12,15,2.5,6,0.18,2.6,0.6729969120965512,0.24020968661453163
36,12,15,3.0,14,0.15,1.8,0.6730011260837174,0.24024998916598267
40,16,10,3.0,6,0.18,2.6,0.6730053343986495,0.240218701256781
36,12,15,2.5,14,0.18,2.6,0.673008300884834,0.24025453832537788
40,12,10,2.0,10,0.15,2.2,0.6730092673457134,0.24019341621761994
36,12,15,2.5,14,0.22,1.8,0.6730107319932133,0.24025737604790912
