MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB
M0081,2025-12-02,DranBuster,BlackShell,0,4,997.19,993.53,970.67,1018.73,Xtreme,Xtreme,exhibition,,,,29.7713,29.7713,52.4973,49.874,0.5053,0.4947,0.0,1.0
M0082,2025-12-02,HellsChain,WhaleWave,3,4,996.07,984.41,980.67,1003.4,Xtreme,Xtreme,exhibition,,,,29.7713,29.7713,44.0379,54.3297,0.5168,0.4832,0.1672,0.8328
M0083,2025-12-02,GolemRock,SamuraiSaber,4,0,982.97,961.31,1001.91,936.05,Xtreme,Xtreme,exhibition,,,,29.0997,30.4774,40.4048,53.8882,0.5311,0.4689,1.0,0.0
M0084,2025-12-02,WizardArrow,CrimsonGaruda,0,4,971.64,958.15,945.23,989.31,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,50.8488,60.0023,0.5194,0.4806,0.0,1.0
M0085,2025-12-02,FoxBrush,ViperTail,2,5,1158.49,1010.9,1132.33,1035.73,Xtreme,Xtreme,exhibition,,,,25.2312,28.4608,42.8659,40.6759,0.7005,0.2995,0.0901,0.9099
M0086,2025-12-02,ImpactDrake,DranSword,2,4,1123.51,1025.31,1104.76,1043.02,Xtreme,Xtreme,exhibition,,,,26.2021,27.8531,37.9787,35.8826,0.6377,0.3623,0.1441,0.8559
M0087,2025-12-02,CerberusFlame,SilverWolf,4,0,1056.84,1033.28,1077.56,1018.96,Xtreme,Xtreme,exhibition,,,,28.4608,28.4608,44.4376,30.7223,0.5339,0.4661,1.0,0.0
M0088,2025-12-02,CobaltDragoon,GolemRock,4,1,1038.32,1001.91,1054.21,986.76,Xtreme,Xtreme,exhibition,,,,27.8531,28.4608,44.4102,42.36,0.5522,0.4478,0.9099,0.0901
M0089,2025-12-02,DranDagger,PhoenixWing,4,3,1032.89,1002.15,1045.09,991.59,Xtreme,Xtreme,exhibition,,,,27.8531,28.4608,42.2407,36.557,0.5441,0.4559,0.8328,0.1672
M0090,2025-12-02,KnightMail,LeonClaw,2,4,1049.3,1000.38,1026.99,1020.02,Xtreme,Xtreme,exhibition,,,,29.0997,29.7713,52.3806,46.1206,0.5699,0.4301,0.1441,0.8559
M0091,2025-12-02,RhinoReaper,BlackShell,5,0,1058.85,1018.73,1073.44,997.51,Xtreme,Xtreme,exhibition,,,,27.275,29.0997,27.3836,39.8296,0.5575,0.4425,1.0901,-0.0901
M0092,2025-12-02,WeissTiger,WhaleWave,4,0,1003.64,1003.4,1026.27,980.9,Xtreme,Xtreme,exhibition,,,,29.0997,29.0997,45.2925,45.0405,0.5003,0.4997,1.0,0.0
M0093,2025-12-02,TuskMammoth,CrimsonGaruda,5,3,1055.11,989.31,1064.87,976.79,Xtreme,Xtreme,exhibition,,,,26.7251,29.7713,37.2072,47.7453,0.5936,0.4064,0.8559,0.1441
M0094,2025-12-02,UnicornSting,LeonCrest,2,5,988.57,948.18,974.24,972.02,Xtreme,Xtreme,exhibition,,,,27.8531,29.7713,30.62,50.9757,0.5579,0.4421,0.0901,0.9099
M0095,2025-12-02,WizardRod,WizardArc,2,4,995.91,948.18,983.96,970.06,Xtreme,Xtreme,exhibition,,,,27.8531,29.7713,28.1727,51.5766,0.5683,0.4317,0.1441,0.8559
M0096,2025-12-02,DranBuster,TyrannoBeat,4,0,970.67,964.76,996.53,949.1,Xtreme,Xtreme,exhibition,,,,29.0997,29.0997,52.6209,31.8586,0.5085,0.4915,1.0,0.0
M0097,2025-12-02,HellsChain,HellsReaper,4,1,980.67,949.46,996.81,930.73,Xtreme,Xtreme,exhibition,,,,29.0997,29.7713,44.2081,51.2874,0.5448,0.4552,0.9099,0.0901
M0098,2025-12-02,WizardArrow,SharkEdge,1,4,945.23,975.78,926.32,994.37,Xtreme,Xtreme,exhibition,,,,29.7713,29.0997,51.6759,50.7785,0.4562,0.5438,0.0901,0.9099
M0099,2025-12-02,WhaleFlame,PegasusBlast,4,2,966.7,953.14,984.8,933.72,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,53.8112,57.7316,0.5195,0.4805,0.8559,0.1441
M0100,2025-12-02,PerseusDark,DranBrave,4,1,944.37,957.71,959.88,944.89,Xtreme,Xtreme,exhibition,,,,29.0997,29.0997,36.1521,29.8728,0.4808,0.5192,0.9099,0.0901
M0101,2025-12-02,ScorpioSpear,HellsHammer,5,1,991.03,938.18,1008.44,915.9,Xtreme,Xtreme,exhibition,,,,28.4608,29.7713,41.0157,52.4884,0.5755,0.4245,1.0,0.0
M0102,2025-12-02,PhoenixRudder,SamuraiSaber,4,1,979.15,936.05,989.41,917.4,Xtreme,Xtreme,exhibition,,,,28.4608,29.7713,29.4681,53.558,0.5617,0.4383,0.9099,0.0901
M0103,2025-12-11,ViperTail,DranDagger,2,5,1035.73,1045.09,1018.36,1061.6,Xtreme,Xtreme,exhibition,,,,27.8531,27.275,43.8161,41.6655,0.4865,0.5135,0.0901,0.9099
M0104,2025-12-11,TuskMammoth,LeonCrest,4,1,1064.87,972.02,1075.23,960.54,Xtreme,Xtreme,exhibition,,,,26.2021,29.0997,37.1101,41.1075,0.6305,0.3695,0.9099,0.0901
M0105,2025-12-11,CerberusFlame,BlackShell,4,1,1077.56,997.51,1091.02,984.89,Xtreme,Xtreme,exhibition,,,,27.8531,28.4608,45.3671,42.5592,0.6132,0.3868,0.9099,0.0901
M0106,2025-12-11,FoxBrush,DranBrave,0,4,1132.33,944.89,1107.36,968.98,Xtreme,Xtreme,exhibition,,,,24.781,28.4608,33.4515,32.283,0.7463,0.2537,0.0,1.0
M0107,2025-12-11,PhoenixWing,CobaltDragoon,5,3,991.59,1054.21,1005.57,1034.58,Xtreme,Xtreme,exhibition,,,,27.8531,27.275,31.412,44.0883,0.4109,0.5891,0.8559,0.1441
M0108,2025-12-11,KnightMail,ScorpioSpear,2,4,1026.99,1008.44,1010.66,1021.3,Xtreme,Xtreme,exhibition,,,,28.4608,27.8531,42.6833,33.6062,0.5267,0.4733,0.1441,0.8559
M0109,2025-12-11,ImpactDrake,PhoenixRudder,4,1,1104.76,989.41,1112.39,981.37,Xtreme,Xtreme,exhibition,,,,25.7045,27.8531,30.5434,32.1863,0.6602,0.3398,0.9099,0.0901
M0110,2025-12-11,SharkEdge,SamuraiSaber,4,2,994.37,917.4,1004.74,904.61,Xtreme,Xtreme,exhibition,,,,28.4608,29.0997,42.0202,51.8069,0.609,0.391,0.8559,0.1441
M0111,2025-12-11,ImpactDrake,DranDagger,4,0,1112.39,1061.6,1125.82,1043.6,Xtreme,Xtreme,exhibition,,,,25.2312,26.7251,31.4087,42.1145,0.5726,0.4274,1.0,0.0
M0112,2025-12-11,PhoenixWing,KnightMail,2,6,1005.57,1010.66,988.56,1028.09,Xtreme,Xtreme,exhibition,,,,27.275,27.8531,34.5405,35.3662,0.4927,0.5073,0.0,1.0
M0113,2025-12-11,DranBrave,TuskMammoth,3,5,968.98,1075.23,962.27,1082.93,Xtreme,Xtreme,exhibition,,,,27.8531,25.7045,32.3514,37.0712,0.3517,0.6483,0.1441,0.8559
M0114,2025-12-11,SharkEdge,CerberusFlame,4,3,1004.74,1091.02,1021.2,1070.91,Xtreme,Xtreme,exhibition,,,,27.8531,27.275,36.2093,44.2501,0.3783,0.6217,0.8328,0.1672
M0115,2025-12-11,SharkEdge,KnightMail,5,2,1021.2,1028.09,1033.57,1012.06,Xtreme,Xtreme,exhibition,,,,27.275,27.275,29.4625,38.181,0.4901,0.5099,0.9099,0.0901
M0116,2025-12-11,ImpactDrake,TuskMammoth,4,1,1125.82,1082.93,1137.52,1070.29,Xtreme,Xtreme,exhibition,,,,24.781,25.2312,33.5968,36.2647,0.5614,0.4386,0.9099,0.0901
M0117,2025-12-11,KnightMail,TuskMammoth,4,2,1012.06,1070.29,1025.84,1056.9,Xtreme,Xtreme,exhibition,,,,26.7251,24.781,31.3884,30.5069,0.417,0.583,0.8559,0.1441
M0118,2025-12-11,ImpactDrake,SharkEdge,6,3,1137.52,1033.57,1146.66,1025.88,Xtreme,Xtreme,exhibition,,,,24.3527,26.7251,34.5272,29.0513,0.6453,0.3547,0.9099,0.0901
M0119,2025-12-27,CerberusFlame,WeissTiger,0,4,1070.91,1026.27,1050.65,1052.54,Xtreme,Xtreme,exhibition,,,,26.7251,28.4608,35.9171,46.5897,0.5639,0.4361,0.0,1.0
M0120,2025-12-27,CobaltDragoon,TuskMammoth,4,0,1034.58,1056.9,1053.67,1043.56,Xtreme,Xtreme,exhibition,,,,26.7251,24.3527,35.879,25.0695,0.4679,0.5321,1.0,0.0
M0121,2025-12-27,DranDagger,ViperTail,0,4,1043.6,1018.36,1025.12,1037.73,Xtreme,Xtreme,exhibition,,,,26.2021,27.275,34.4743,36.1326,0.5363,0.4637,0.0,1.0
M0122,2025-12-27,RhinoReaper,DranSword,2,4,1073.44,1043.02,1060.73,1058.44,Xtreme,Xtreme,exhibition,,,,26.7251,27.275,31.814,38.6038,0.5437,0.4563,0.1441,0.8559
M0123,2025-12-27,SamuraiSaber,HellsReaper,0,4,904.61,930.73,881.86,953.94,Xtreme,Xtreme,exhibition,,,,28.4608,29.0997,49.187,50.1701,0.4625,0.5375,0.0,1.0
