Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
72,M0267,2026-01-30,CobaltDragoon,DranSword,1017.5,1059.7,42.19,4-1
73,M0379,2026-02-26,ScorpioSpear,LeonCrest,1083.4,1125.4,42.0,5-2
74,M0160,2025-12-27,LeonCrest,WhaleWave,967.1,1007.3,40.18,4-3
75,M0215,2026-01-04,CobaltDragoon,SharkScale,1003.4,1043.5,40.15,5-3
76,M0417,2026-03-01,ViperTail,DranSword,1030.2,1069.7,39.57,4-1
77,M0107,2025-12-11,PhoenixWing,CobaltDragoon,982.4,1021.2,38.78,5-3
78,M0288,2026-02-11,TuskMammoth,ImpactDrake,1113.0,1151.0,38.01,5-2
79,M0092,2025-12-02,WeissTiger,WhaleWave,978.5,1015.4,36.95,4-0
80,M0329,2026-02-13,DranDagger,PhoenixWing,944.5,981.4,36.95,4-1
81,M0277,2026-02-11,WeissTiger,PhoenixWing,975.0,1010.1,35.13,4-0
82,M0275,2026-02-11,WizardRod,WhaleWave,940.1,975.1,34.99,4-2
83,M0181,2026-01-04,DranBrave,DranBuster,971.5,1005.8,34.31,4-3
