Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
64,M0308,2026-02-11,SolEclipse,SharkEdge,959.3,989.0,29.63,5-0
65,M0108,2025-12-11,ScorpioSpear,KnightMail,997.1,1026.7,29.61,4-2
66,M0138,2025-12-27,GolemRock,CerberusFlame,1013.1,1042.4,29.32,5-0
67,M0335,2026-02-26,SharkEdge,RhinoReaper,982.9,1012.2,29.29,4-3
68,M0155,2025-12-27,PhoenixWing,KnightMail,996.6,1025.0,28.44,4-0
69,M0201,2026-01-04,CrimsonGaruda,UnicornSting,978.7,1007.0,28.28,4-0
70,M0151,2025-12-27,LeonClaw,WizardRod,982.4,1009.9,27.47,4-2
71,M0331,2026-02-13,ScorpioSpear,CobaltDragoon,1062.6,1089.4,26.88,4-0
72,M0259,2026-01-30,SilverWolf,WhaleWave,968.3,994.0,25.78,4-3
73,M0036,2025-11-12,SilverWolf,PhoenixRudder,986.9,1012.6,25.72,4-1
74,M0249,2026-01-30,DranDagger,TuskMammoth,994.7,1020.0,25.33,5-3
75,M0195,2026-01-04,DranBrave,HellsReaper,1011.2,1036.2,25.0,4-0
76,M0262,2026-01-30,HellsReaper,DranBrave,1015.2,1040.2,24.92,4-3
77,M0122,2025-12-27,DranSword,RhinoReaper,1040.3,1065.0,24.78,4-2
78,M0311,2026-02-11,ImpactDrake,CobaltDrake,980.0,1004.7,24.73,5-2
79,M0200,2026-01-04,SolEclipse,ViperTail,1020.8,1045.4,24.61,5-2
80,M0272,2026-02-11,ValkyrieVolt,SharkEdge,985.4,1009.9,24.44,4-0
81,M0044,2025-11-12,WhaleWave,WhaleFlame,975.9,1000.0,24.12,4-2
82,M0315,2026-02-13,LeonCrest,TuskMammoth,980.0,1003.8,23.77,4-0
