Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
15,1,0,1,2025-09-07,WizardArc,993,20,1,0,1,0.0
15,1,0,1,2025-09-07,DranBuster,980,27,1,0,1,0.0
15,1,1,0,2025-09-07,RhinoReaper,980,30,1,0,1,0.0
15,1,0,1,2025-09-07,ViperTail,1007,8,1,1,0,1.0
15,1,0,1,2025-09-07,PhoenixWing,1003,14,1,1,0,1.0
15,1,0,1,2025-09-07,TuskMammoth,1007,9,1,1,0,1.0
15,1,0,1,2025-09-07,DranSword,1003,13,1,1,0,1.0
15,1,0,1,2025-09-07,BlackShell,980,24,1,0,1,0.0
15,1,0,1,2025-09-07,ImpactDrake,1003,12,1,1,0,1.0
15,1,0,1,2025-09-07,HellsHammer,997,17,1,0,1,0.0
15,1,0,1,2025-09-07,HellsChain,993,23,1,0,1,0.0
16,1,0,1,2025-09-07,WizardArrow,997,19,1,0,1,0.0
16,1,0,1,2025-09-07,LeonClaw,980,28,1,0,1,0.0
16,1,0,1,2025-09-07,HellsReaper,993,23,1,0,1,0.0
16,1,0,1,2025-09-07,CrimsonGaruda,980,27,1,0,1,0.0
16,1,0,1,2025-09-07,WhaleWave,980,31,1,0,1,0.0
16,1,0,1,2025-09-07,LeonCrest,997,17,1,0,1,0.0
16,1,0,1,2025-09-07,ImpactDrake,1003,13,1,1,0,1.0
16,1,0,1,2025-09-07,SamuraiSaber,993,22,1,0,1,0.0
16,1,0,1,2025-09-07,SharkEdge,980,30,1,0,1,0.0
16,1,0,1,2025-09-07,WizardRod,1003,16,1,1,0,1.0
16,1,0,1,2025-09-07,SilverWolf,997,20,1,0,1,0.0
16,1,0,1,2025-09-07,WizardArc,993,21,1,0,1,0.0
16,1,0,1,2025-09-07,DranBuster,980,29,1,0,1,0.0
16,1,0,1,2025-09-07,RhinoReaper,980,32,1,0,1,0.0
16,1,0,1,2025-09-07,PhoenixWing,1003,15,1,1,0,1.0
16,1,1,0,2025-09-07,PhoenixRudder,1007,12,1,1,0,1.0
16,1,0,1,2025-09-07,DranSword,1003,14,1,1,0,1.0
16,1,0,1,2025-09-07,BlackShell,980,26,1,0,1,0.0
16,1,0,1,2025-09-07,ImpactDrake,1003,13,1,1,0,1.0
16,1,0,1,2025-09-07,HellsHammer,997,18,1,0,1,0.0
16,1,1,0,2025-09-07,ScorpioSpear,993,25,1,0,1,0.0
16,1,0,1,2025-09-07,HellsChain,993,24,1,0,1,0.0
17,1,0,1,2025-09-07,TyrannoBeat,1007,10,1,1,0,1.0
17,1,0,1,2025-09-07,PhoenixWing,1003,14,1,1,0,1.0
17,1,0,1,2025-09-07,WizardRod,1003,15,1,1,0,1.0
17,1,0,1,2025-09-07,ImpactDrake,1003,12,1,1,0,1.0
17,2,1,0,2025-09-07,TuskMammoth,1015,8,2,2,0,1.0
17,1,0,1,2025-09-07,DranSword,1003,13,1,1,0,1.0
17,1,0,1,2025-09-07,PhoenixRudder,1007,11,1,1,0,1.0
17,2,1,0,2025-09-07,ViperTail,998,16,2,1,1,0.5
17,1,0,1,2025-09-07,PhoenixWing,1003,14,1,1,0,1.0
17,1,0,1,2025-09-07,PhoenixRudder,1007,11,1,1,0,1.0
17,2,1,0,2025-09-07,TuskMammoth,1015,8,2,2,0,1.0
17,1,0,1,2025-09-07,WizardRod,1003,15,1,1,0,1.0
17,1,0,1,2025-09-07,DranBrave,1007,9,1,1,0,1.0
17,1,0,1,2025-09-07,DranSword,1003,13,1,1,0,1.0
17,1,0,1,2025-09-07,ImpactDrake,1003,12,1,1,0,1.0
18,2,1,0,2025-09-07,GolemRock,999,15,2,1,1,0.5
18,1,0,1,2025-09-07,WizardRod,1003,14,1,1,0,1.0
18,1,0,1,2025-09-07,PhoenixWing,1003,13,1,1,0,1.0
18,2,1,0,2025-09-07,ImpactDrake,1024,1,2,2,0,1.0
19,2,1,0,2025-09-07,DranBrave,1001,14,2,1,1,0.5
19,2,1,0,2025-09-07,DranSword,1008,9,2,2,0,1.0
19,1,0,1,2025-09-07,WizardRod,1003,13,1,1,0,1.0
19,1,0,1,2025-09-07,PhoenixWing,1003,12,1,1,0,1.0
20,1,0,1,2025-09-07,PerseusDark,1020,5,1,1,0,1.0
20,1,0,1,2025-09-07,WeissTiger,1020,6,1,1,0,1.0
20,2,1,0,2025-09-07,UnicornSting,1032,1,2,2,0,1.0
20,2,0,1,2025-09-07,TuskMammoth,1015,7,2,2,0,1.0
20,2,1,0,2025-09-07,DranDagger,1008,9,2,1,1,0.5
20,2,0,1,2025-09-07,DranSword,1008,8,2,2,0,1.0
20,2,0,1,2025-09-07,ImpactDrake,1024,2,2,2,0,1.0
20,1,0,1,2025-09-07,FoxBrush,1020,3,1,1,0,1.0
20,1,0,1,2025-09-07,CobaltDragoon,1020,4,1,1,0,1.0
21,2,1,0,2025-09-07,TyrannoBeat,999,15,2,1,1,0.5
21,2,0,1,2025-09-07,GolemRock,999,14,2,1,1,0.5
21,1,0,1,2025-09-07,PhoenixWing,1003,11,1,1,0,1.0
21,1,0,1,2025-09-07,PhoenixRudder,1007,10,1,1,0,1.0
21,1,0,1,2025-09-07,WizardRod,1003,12,1,1,0,1.0
21,2,0,1,2025-09-07,DranBrave,1001,13,2,1,1,0.5
21,2,0,1,2025-09-07,ImpactDrake,1024,3,2,2,0,1.0
21,2,1,0,2025-09-07,FoxBrush,1028,2,2,2,0,1.0
22,1,0,1,2025-09-07,WeissTiger,1020,5,1,1,0,1.0
22,2,1,0,2025-09-07,PhoenixWing,1011,8,2,2,0,1.0
22,2,0,1,2025-09-07,TuskMammoth,1015,6,2,2,0,1.0
22,1,0,1,2025-09-07,PhoenixRudder,1007,11,1,1,0,1.0
22,2,0,1,2025-09-07,DranSword,1008,9,2,2,0,1.0
22,2,0,1,2025-09-07,DranDagger,1008,10,2,1,1,0.5
22,1,0,1,2025-09-07,PerseusDark,1020,4,1,1,0,1.0
22,2,1,0,2025-09-07,CobaltDragoon,1012,7,2,1,1,0.5
23,1,0,1,2025-09-07,WeissTiger,1020,4,1,1,0,1.0
23,2,1,0,2025-09-07,PerseusDark,1012,7,2,1,1,0.5
23,2,1,0,2025-09-07,WizardRod,1011,9,2,2,0,1.0
23,2,0,1,2025-09-07,TuskMammoth,1015,5,2,2,0,1.0
23,1,0,1,2025-09-07,PhoenixRudder,1007,12,1,1,0,1.0
23,2,0,1,2025-09-07,DranSword,1008,10,2,2,0,1.0
23,2,0,1,2025-09-07,DranDagger,1008,11,2,1,1,0.5
23,2,0,1,2025-09-07,CobaltDragoon,1012,6,2,1,1,0.5
24,2,0,1,2025-09-07,DranDagger,1008,12,2,1,1,0.5
24,2,1,0,2025-09-07,WeissTiger,1016,4,2,1,1,0.5
24,2,0,1,2025-09-07,DranSword,1008,11,2,2,0,1.0
24,2,1,0,2025-09-07,PhoenixRudder,1010,10,2,2,0,1.0
25,1,0,1,2025-09-07,WizardArrow,997,18,1,0,1,0.0
25,2,0,1,2025-09-07,TyrannoBeat,999,14,2,1,1,0.5
25,2,0,1,2025-09-07,FoxBrush,1028,3,2,2,0,1.0
25,1,0,1,2025-09-07,LeonCrest,997,16,1,0,1,0.0
25,2,0,1,2025-09-07,WizardRod,1011,8,2,2,0,1.0
25,2,0,1,2025-09-07,DranBrave,1001,12,2,1,1,0.5
25,2,0,1,2025-09-07,DranDagger,1008,11,2,1,1,0.5
25,1,0,1,2025-09-07,SilverWolf,997,19,1,0,1,0.0
25,2,0,1,2025-09-07,CobaltDragoon,1012,5,2,1,1,0.5
25,2,0,1,2025-09-07,GolemRock,999,13,2,1,1,0.5
25,2,0,1,2025-09-07,UnicornSting,1032,2,2,2,0,1.0
25,2,0,1,2025-09-07,ViperTail,998,15,2,1,1,0.5
25,2,0,1,2025-09-07,PhoenixWing,1011,7,2,2,0,1.0
25,3,1,0,2025-09-07,TuskMammoth,996,20,3,2,1,0.6666666666666666
25,2,0,1,2025-09-07,PhoenixRudder,1010,9,2,2,0,1.0
25,2,0,1,2025-09-07,DranSword,1008,10,2,2,0,1.0
25,3,1,0,2025-09-07,ImpactDrake,1043,1,3,3,0,1.0
25,1,0,1,2025-09-07,HellsHammer,997,17,1,0,1,0.0
25,2,0,1,2025-09-07,PerseusDark,1012,6,2,1,1,0.5
26,2,0,1,2025-09-07,WeissTiger,1016,5,2,1,1,0.5
26,2,0,1,2025-09-07,PerseusDark,1012,7,2,1,1,0.5
26,3,1,0,2025-09-07,UnicornSting,1019,4,3,2,1,0.6666666666666666
26,2,0,1,2025-09-07,PhoenixWing,1011,8,2,2,0,1.0
26,2,0,1,2025-09-07,WizardRod,1011,9,2,2,0,1.0
26,2,0,1,2025-09-07,PhoenixRudder,1010,10,2,2,0,1.0
26,3,1,0,2025-09-07,DranSword,1021,3,3,3,0,1.0
26,2,0,1,2025-09-07,FoxBrush,1028,2,2,2,0,1.0
26,2,0,1,2025-09-07,CobaltDragoon,1012,6,2,1,1,0.5
27,1,0,1,2025-09-07,WizardArrow,997,17,1,0,1,0.0
27,2,0,1,2025-09-07,TyrannoBeat,999,13,2,1,1,0.5
27,1,0,1,2025-09-07,HellsReaper,993,22,1,0,1,0.0
27,3,1,0,2025-09-07,FoxBrush,1047,1,3,3,0,1.0
27,1,0,1,2025-09-07,LeonCrest,997,15,1,0,1,0.0
27,1,0,1,2025-09-07,SamuraiSaber,993,21,1,0,1,0.0
27,2,0,1,2025-09-07,WizardRod,1011,8,2,2,0,1.0
27,2,0,1,2025-09-07,DranBrave,1001,11,2,1,1,0.5
27,2,0,1,2025-09-07,DranDagger,1008,10,2,1,1,0.5
27,1,0,1,2025-09-07,SilverWolf,997,18,1,0,1,0.0
27,1,0,1,2025-09-07,WizardArc,993,20,1,0,1,0.0
27,2,0,1,2025-09-07,GolemRock,999,12,2,1,1,0.5
