k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
36,16,10,3.0,14,0.22,2.6,0.6675324801559054,0.23757249129100919
40,12,25,2.5,14,0.18,1.8,0.6675348020493194,0.23758867510790652
36,16,10,3.0,14,0.18,2.2,0.6675351578832663,0.2375565077943888
40,20,10,2.5,14,0.22,2.6,0.6675356438031881,0.2376089603373079
36,16,10,3.0,14,0.15,2.6,0.6675390465794339,0.23755210309986885
40,12,25,3.0,10,0.18,2.6,0.6675415950188559,0.23761557601494773
40,16,15,3.0,10,0.15,2.6,0.6675437757716733,0.23757578699018056
40,12,15,2.0,14,0.15,2.2,0.6675470078479541,0.23753855328991774
40,12,15,2.5,10,0.15,2.2,0.6675529656912845,0.23754374407037113
36,12,15,2.5,14,0.18,2.6,0.6675533226606906,0.23754797516172987
36,16,10,3.0,14,0.22,2.2,0.667555267972054,0.2375788062544002
40,16,20,2.5,14,0.22,1.8,0.6675576195584831,0.23762587171472518
40,12,25,2.5,14,0.15,2.2,0.6675606239505671,0.23759120341570483
40,16,10,3.0,10,0.18,1.8,0.6675615616704819,0.23757242953465404
40,16,25,3.0,14,0.15,2.6,0.6675662341497508,0.23764400121150445
36,12,15,2.5,14,0.22,2.2,0.6675663823500996,0.2375610352563934
40,12,20,2.0,14,0.18,2.6,0.6675664274666752,0.23758289505615973
40,16,20,2.5,14,0.18,2.2,0.6675735852604662,0.2376204511213997
36,12,25,3.0,14,0.15,2.2,0.667579371444301,0.23758642620167808
36,12,25,3.0,14,0.18,1.8,0.6675801851233091,0.23759552994579436
36,16,10,3.0,14,0.22,1.8,0.6675808159998793,0.237584399672654
40,20,15,2.5,14,0.22,2.6,0.6675831784804389,0.23766208998455673
36,12,15,3.0,10,0.18,2.6,0.6675872050465373,0.23757093844701266
40,12,10,2.5,10,0.18,2.2,0.6675894558770171,0.2375610045748035
40,20,15,3.0,14,0.15,1.8,0.667593498976933,0.23761533177644023
40,12,15,2.0,10,0.22,2.6,0.667595769244905,0.23757523914074918
40,16,20,3.0,10,0.22,2.2,0.6676009586952564,0.23766309975255903
40,20,10,3.0,10,0.22,2.6,0.6676026468007523,0.23765123688377374
36,16,10,3.0,14,0.15,2.2,0.6676033449601028,0.2375770708011876
36,16,10,3.0,14,0.18,1.8,0.6676094443750257,0.23758454901850187
40,16,10,2.5,10,0.22,2.6,0.6676152085835159,0.2376032160934353
36,12,15,2.5,14,0.18,2.2,0.6676157972175502,0.2375732664708623
