MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB,FormEmaA,FormEmaB
M0047,2025-11-12,SharkEdge,CrimsonGaruda,4,1,975.88,980.0,994.99,961.53,Xtreme,Xtreme,exhibition,,,,38.1942,38.1942,47.4051,45.833,0.4941,0.5059,0.8971,0.1029,-0.0804,-0.0667
M0048,2025-11-12,LeonClaw,ImpactDrake,2,4,980.0,1121.09,973.02,1129.13,Xtreme,Xtreme,exhibition,,,,38.1942,30.769,45.833,52.7876,0.3074,0.6926,0.1551,0.8449,-0.0667,0.2385
M0049,2025-11-12,HellsHammer,CobaltDragoon,0,5,986.91,1019.26,962.88,1042.23,Xtreme,Xtreme,exhibition,,,,38.1942,34.9245,43.1922,41.283,0.4536,0.5464,-0.1029,1.1029,-0.0436,0.0607
M0050,2025-11-12,TuskMammoth,HellsChain,5,3,1007.99,1004.74,1020.39,991.69,Xtreme,Xtreme,exhibition,,,,34.9245,36.5049,36.4477,38.3669,0.5047,0.4953,0.8449,0.1551,0.0145,0.017
M0051,2025-11-12,DranDagger,UnicornSting,5,0,1001.8,1034.26,1025.85,1006.65,Xtreme,Xtreme,exhibition,,,,36.5049,33.446,37.0339,42.5008,0.4534,0.5466,1.1029,-0.1029,0.0048,0.0902
M0052,2025-11-12,GolemRock,CerberusFlame,1,4,1009.08,1015.72,994.11,1032.85,Xtreme,Xtreme,exhibition,,,,34.9245,38.1942,38.6197,44.199,0.4904,0.5096,0.1029,0.8971,0.0353,0.0524
M0053,2025-11-12,BlackShell,FoxBrush,0,4,1001.54,1065.96,986.42,1083.21,Xtreme,Xtreme,exhibition,,,,36.5049,30.769,37.0403,42.2511,0.4083,0.5917,0.0,1.0,0.0049,0.1244
M0054,2025-11-12,ScorpioSpear,WhaleWave,4,1,1001.19,993.88,1015.57,978.96,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,37.1763,38.5925,0.5105,0.4895,0.8971,0.1029,0.0061,-0.0191
M0055,2025-11-12,RhinoReaper,SharkEdge,4,2,995.45,994.99,1008.5,981.82,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,37.9102,38.2497,0.5007,0.4993,0.8449,0.1551,-0.0128,-0.0159
M0056,2025-11-12,ImpactDrake,SilverWolf,2,4,1129.13,1005.66,1103.52,1025.61,Xtreme,Xtreme,exhibition,,,,29.5585,36.5049,49.6915,38.7027,0.6706,0.3294,0.1551,0.8449,0.227,0.0201
M0057,2025-11-12,CobaltDragoon,KnightMail,3,5,1042.23,1024.52,1025.13,1042.13,Xtreme,Xtreme,exhibition,,,,33.446,38.1942,46.1684,47.5593,0.5255,0.4745,0.1551,0.8449,0.1268,0.0817
M0058,2025-11-12,TuskMammoth,ViperTail,5,1,1020.39,1015.63,1039.75,995.52,Xtreme,Xtreme,exhibition,,,,33.446,34.9245,39.2617,40.7652,0.5069,0.4931,1.0,0.0,0.058,0.0557
M0059,2025-11-12,DranDagger,DranBuster,4,2,1025.85,1000.29,1039.55,989.01,Xtreme,Xtreme,exhibition,,,,34.9245,36.5049,44.4362,36.6168,0.5367,0.4633,0.8449,0.1551,0.0908,-0.001
M0060,2025-11-12,SilverWolf,CerberusFlame,0,4,1025.61,1032.85,1004.1,1055.93,Xtreme,Xtreme,exhibition,,,,34.9245,36.5049,43.9476,47.1376,0.4896,0.5104,0.0,1.0,0.0861,0.0971
M0061,2025-11-12,KnightMail,FoxBrush,2,4,1042.13,1083.21,1027.93,1095.78,Xtreme,Xtreme,exhibition,,,,36.5049,29.5585,49.6702,43.9462,0.4412,0.5588,0.1551,0.8449,0.1202,0.1623
M0062,2025-11-12,TuskMammoth,ScorpioSpear,6,0,1039.75,1015.57,1066.57,990.2,Xtreme,Xtreme,exhibition,,,,32.0629,34.9245,43.2193,40.8815,0.5348,0.4652,1.1551,-0.1551,0.116,0.0569
